area,route_name,date,gpx_file,url
志賀・草津・四阿山・浅間,四阿山,2025年02月10日(月),routes/track-7785752.gpx,https://www.yamareco.com/modules/yamareco/detail-7785752.html
道北・利尻,摺鉢山,2025年02月10日(月),routes/track-7785766.gpx,https://www.yamareco.com/modules/yamareco/detail-7785766.html
志賀・草津・四阿山・浅間,根子岳・小根子岳,2025年02月10日(月),routes/track-7785843.gpx,https://www.yamareco.com/modules/yamareco/detail-7785843.html
妙高・戸隠・雨飾,大渚山,2025年02月10日(月),routes/track-7785939.gpx,https://www.yamareco.com/modules/yamareco/detail-7785939.html
十和田湖・八甲田,寒水沢,2025年02月10日(月),routes/track-7785996.gpx,https://www.yamareco.com/modules/yamareco/detail-7785996.html
八幡平・岩手山・秋田駒,スキー　八幡平樅山,2025年02月10日(月),routes/track-7786061.gpx,https://www.yamareco.com/modules/yamareco/detail-7786061.html
白馬・鹿島槍・五竜,白馬乗鞍岳,2025年02月10日(月),routes/track-7786084.gpx,https://www.yamareco.com/modules/yamareco/detail-7786084.html
白馬・鹿島槍・五竜,天狗原/白馬岳神社,2025年02月10日(月),routes/track-7786093.gpx,https://www.yamareco.com/modules/yamareco/detail-7786093.html
妙高・戸隠・雨飾,大渚山BC,2025年02月10日(月),routes/track-7786163.gpx,https://www.yamareco.com/modules/yamareco/detail-7786163.html
妙高・戸隠・雨飾,神奈山 1730mまで,2025年02月10日(月),routes/track-7786226.gpx,https://www.yamareco.com/modules/yamareco/detail-7786226.html
赤城・榛名・荒船,赤城山BC-東面を滑走し登り返し後西面滑走-,2025年02月10日(月),routes/track-7786233.gpx,https://www.yamareco.com/modules/yamareco/detail-7786233.html
志賀・草津・四阿山・浅間,根子岳 （唐沢尾根）,2025年02月10日(月),routes/track-7786247.gpx,https://www.yamareco.com/modules/yamareco/detail-7786247.html
志賀・草津・四阿山・浅間,高社山,2025年02月10日(月),routes/track-7786262.gpx,https://www.yamareco.com/modules/yamareco/detail-7786262.html
妙高・戸隠・雨飾,黒姫山中腹しなの木まで,2025年02月10日(月),routes/track-7786273.gpx,https://www.yamareco.com/modules/yamareco/detail-7786273.html
白馬・鹿島槍・五竜,白馬コルチナ：裏コル、雨中,2025年02月10日(月),routes/track-7786333.gpx,https://www.yamareco.com/modules/yamareco/detail-7786333.html
磐梯・吾妻・安達太良,安達太良山　R7.2.9,2025年02月09日(日),routes/track-7786387.gpx,https://www.yamareco.com/modules/yamareco/detail-7786387.html
妙高・戸隠・雨飾,黒姫山と小黒姫,2025年02月10日(月),routes/track-7786397.gpx,https://www.yamareco.com/modules/yamareco/detail-7786397.html
白馬・鹿島槍・五竜,裏天狗,2025年02月10日(月),routes/track-7786411.gpx,https://www.yamareco.com/modules/yamareco/detail-7786411.html
志賀・草津・四阿山・浅間,根子岳(BC),2025年02月10日(月),routes/track-7786415.gpx,https://www.yamareco.com/modules/yamareco/detail-7786415.html
東海,船山　山スキー　岐阜県,2025年02月10日(月),routes/track-7786439.gpx,https://www.yamareco.com/modules/yamareco/detail-7786439.html
道北・利尻,ヤムナイ沢,2025年02月10日(月),routes/track-7786446.gpx,https://www.yamareco.com/modules/yamareco/detail-7786446.html
札幌近郊,朝里岳〜余市岳,2025年02月10日(月),routes/track-7786509.gpx,https://www.yamareco.com/modules/yamareco/detail-7786509.html
札幌近郊,余市岳,2025年02月10日(月),routes/track-7786520.gpx,https://www.yamareco.com/modules/yamareco/detail-7786520.html
十和田湖・八甲田,ロープウェイ運休でダイレクトコースをハイクアップしてモッコ沢を滑り降り,2025年02月10日(月),routes/track-7786565.gpx,https://www.yamareco.com/modules/yamareco/detail-7786565.html
白馬・鹿島槍・五竜,一難場山,2025年02月10日(月),routes/track-7786589.gpx,https://www.yamareco.com/modules/yamareco/detail-7786589.html
道東・知床,【流氷スキーDAY2】遠音別岳（1160m敗退）,2025年02月10日(月),routes/track-7786633.gpx,https://www.yamareco.com/modules/yamareco/detail-7786633.html
札幌近郊,三菱山,2025年02月10日(月),routes/track-7786732.gpx,https://www.yamareco.com/modules/yamareco/detail-7786732.html
